Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,1.4111347556114198,0.3680555555555556,7.004554748535156,0.2777777777777778
2,0.3326397180557251,0.9097222222222222,2.3641728088259697,0.4166666666666667
3,0.17795299887657165,0.9444444444444444,6.047436714172363,0.3055555555555556
4,0.23285870403051376,0.9375,6.091017484664917,0.3055555555555556
5,0.30378657579421997,0.9097222222222222,2.2850547432899475,0.5
6,0.06385726612061263,0.9791666666666666,1.071307748556137,0.6944444444444444
7,0.06310899145901203,0.9791666666666666,0.675627738237381,0.75
8,0.16521610096096992,0.9444444444444444,0.39376863837242126,0.8055555555555556
9,0.053119822219014165,0.9861111111111112,0.3294913172721863,0.8333333333333334
10,0.031032430939376354,0.9930555555555556,0.3053401857614517,0.8611111111111112
